date,mean,median,min,max,std,dataset
2015-01-31,20570.932638888888,3.55,-7.1,1061241.0,97907.7869492833,construction
2015-02-28,20793.122916666667,3.7,-11.4,1072895.0,99078.46539635485,construction
2015-03-31,21234.55798611111,4.05,-5.5,1086748.0,100455.18517527237,construction
2015-04-30,21944.46875,4.7,-6.1,1115619.0,103178.69525840307,construction
2015-05-31,22419.667708333334,3.9,-5.3,1135433.0,105106.87059115041,construction
2015-06-30,22984.308333333334,4.6,-22.3,1158193.0,107260.22399819936,construction
2015-07-31,22871.44513888889,3.75,-8.8,1154561.0,106796.79008558532,construction
2015-08-31,23104.06076388889,3.7,-5.4,1164377.0,107687.24611376006,construction
2015-09-30,23009.35347222222,3.5,-23.6,1163937.0,107680.50949802704,construction
2015-10-31,22700.053125,3.4,-11.1,1151533.0,106558.17357639538,construction
2015-11-30,22429.643055555556,3.4,-9.6,1145510.0,106022.85804023265,construction
2015-12-31,22491.775,3.4,-13.6,1156354.0,106837.39050560715,construction
2016-01-31,22414.746874999997,3.45,-5.4,1160988.0,107120.6150911403,construction
2016-02-29,22664.72465277778,3.6,-10.2,1172851.0,108310.77122200716,construction
2016-03-31,23104.998958333334,3.6,-20.0,1188776.0,109926.86686719627,construction
2016-04-30,23139.80416666667,3.6,-4.7,1185902.0,109775.80425045529,construction
2016-05-31,23347.333333333332,3.6500000000000004,-8.7,1190685.0,110368.22353372825,construction
2016-06-30,24026.684375,3.7,-9.2,1217604.0,112843.46684494466,construction
2016-07-31,23939.9625,3.45,-19.6,1214532.0,112747.47611801526,construction
2016-08-31,24089.478125,3.5,-12.5,1221250.0,113406.32530528192,construction
2016-09-30,24296.404166666667,3.6,-5.1,1232438.0,114377.57634861504,construction
2016-10-31,24348.639583333334,3.4,-12.9,1241100.0,115136.97105509436,construction
2016-11-30,24697.879166666666,3.6,-7.2,1264881.0,117371.69088095981,construction
2016-12-31,24597.175000000003,3.5,-5.7,1270443.0,117961.24934424432,construction
2017-01-31,24135.35173611111,3.45,-16.2,1256025.0,116724.41002133879,construction
2017-02-28,24469.92013888889,3.8499999999999996,-4.2,1277327.0,118504.36431732983,construction
2017-03-31,24601.828125,3.85,-4.3,1274466.0,118231.29633170369,construction
2017-04-30,24506.89375,3.4,-24.3,1268229.0,117818.83635550435,construction
2017-05-31,24919.870138888888,4.05,-4.5,1282119.0,118982.93989899836,construction
2017-06-30,24913.30659722222,3.3499999999999996,-18.9,1277442.0,118575.3073095717,construction
2017-07-31,24846.00625,3.6,-6.9,1275620.0,118386.2648701645,construction
2017-08-31,24834.497916666664,3.7,-3.9,1274043.0,118235.26541804645,construction
2017-09-30,24901.272222222222,3.9,-12.1,1280026.0,118774.80618723067,construction
2017-10-31,24996.74166666667,3.8,-15.6,1283890.0,119031.79634343277,construction
2017-11-30,25267.944444444445,3.7,-14.2,1309300.0,121373.68459206804,construction
2017-12-31,25166.4,3.3,-15.5,1314355.0,121928.01963471403,construction
2018-01-31,25538.653124999997,3.7,-23.6,1338470.0,124382.66107816012,construction
2018-02-28,25877.97847222222,3.7,-9.2,1354758.0,125980.42302984968,construction
2018-03-31,25878.72638888889,3.6,-10.8,1345730.0,125034.17475036804,construction
2018-04-30,26139.04513888889,3.7,-8.1,1353497.0,125666.70221647313,construction
2018-05-31,26391.917013888888,3.6,-7.5,1360723.0,126325.58154599002,construction
2018-06-30,26132.627777777776,3.3,-8.1,1342064.0,124509.05902059356,construction
2018-07-31,26060.705208333336,3.6500000000000004,-5.4,1335024.0,123776.74991710804,construction
2018-08-31,26258.744444444445,3.7,-9.6,1339141.0,124078.35621317237,construction
2018-09-30,25827.03576388889,2.9,-15.7,1323245.0,122799.10297305416,construction
2018-10-31,25699.968055555553,3.3,-4.8,1315931.0,122021.84367366426,construction
2018-11-30,25291.859375,2.9,-7.8,1302721.0,120735.53441218771,construction
2018-12-31,25025.96319444444,3.8,-7.5,1292045.0,119739.87208047828,construction
2019-01-31,24999.247569444444,3.3,-12.0,1295341.0,119837.69619482452,construction
2019-02-28,25340.994791666668,3.7,-6.2,1310297.0,121152.21795808451,construction
2019-03-31,25705.96423611111,3.4,-15.8,1319912.0,122178.22936695839,construction
2019-04-30,26506.30277777778,3.5,-12.4,1352871.0,124995.50897625268,construction
2019-05-31,26839.933680555558,3.1,-6.8,1364812.0,126313.06137755087,construction
2019-06-30,27220.632291666665,3.3,-6.2,1381444.0,127992.93899451876,construction
2019-07-31,27882.231944444444,3.2,-2.4,1412986.0,130903.47581634799,construction
2019-08-31,28133.327083333334,3.1,-8.7,1425690.0,132239.0520645803,construction
2019-09-30,28322.243055555555,3.1,-7.1,1438309.0,133337.3356103545,construction
2019-10-31,28376.47638888889,2.75,-7.7,1445024.0,134042.2641589426,construction
2019-11-30,28604.563194444447,2.9,-4.6,1464447.0,135855.95289026017,construction
2019-12-31,28472.55277777778,2.9,-3.9,1469119.0,136127.07420386636,construction
2020-01-31,28757.786805555555,3.2,-11.8,1491029.0,137854.8742454138,construction
2020-02-29,28876.07013888889,2.7,-5.2,1498750.0,138488.51327627923,construction
2020-03-31,29058.894791666666,2.75,-5.9,1502330.0,138850.95085037503,construction
2020-04-30,28352.167013888888,2.55,-11.4,1459363.0,134753.55645556597,construction
2020-05-31,28315.766666666666,2.7,-7.7,1449765.0,133783.88967421916,construction
2020-06-30,28634.153819444444,2.7,-17.6,1460368.0,134834.36969945976,construction
2020-07-31,28820.14826388889,2.7,-4.2,1474508.0,136222.97229506524,construction
2020-08-31,28946.322916666668,2.75,-5.6,1489581.0,137723.81888958238,construction
2020-09-30,29240.538194444445,2.8,-4.8,1512309.0,139875.47197498148,construction
2020-10-31,29596.154166666667,2.75,-10.9,1538356.0,142445.00745456858,construction
2020-11-30,29638.561805555557,2.6500000000000004,-7.7,1552503.0,143752.792021432,construction
2020-12-31,29827.587152777778,2.8,-7.1,1577213.0,146065.35282749464,construction
2021-01-31,30048.660069444442,2.9,-3.8,1599028.0,148257.9704861003,construction
2021-02-28,29598.543749999997,2.6,-6.9,1575321.0,146150.4743443817,construction
2021-03-31,30444.050694444442,2.8,-6.6,1610208.0,149559.77597361262,construction
2021-04-30,30563.417708333334,2.7,-10.0,1614849.0,150146.90121480185,construction
2021-05-31,30866.42222222222,2.7,-8.7,1627889.0,151463.29228243505,construction
2021-06-30,31168.675347222223,2.8,-17.4,1639031.0,152748.35953142057,construction
2021-07-31,31574.880208333332,2.7,-5.0,1661485.0,154949.34375771563,construction
2021-08-31,31648.232291666667,2.7,-6.5,1664988.0,155292.86550827083,construction
2021-09-30,31687.313194444443,2.7,-7.5,1673006.0,156235.65077802504,construction
2021-10-31,31891.086805555555,2.7,-4.4,1689011.0,157827.53934648365,construction
2021-11-30,32533.52951388889,2.7,-1.2,1731866.0,161861.19390651,construction
2021-12-31,32787.02951388889,2.7,-14.3,1763060.0,164960.32282949463,construction
2022-01-31,33472.26493055556,2.8,-4.4,1808519.0,169370.91259971037,construction
2022-02-28,34121.333333333336,2.8,-1.0,1844343.0,172805.30990062948,construction
2022-03-31,34936.935069444444,2.7,-3.5,1876116.0,175915.1522448841,construction
2022-04-30,35762.46770833333,3.1500000000000004,-4.1,1911323.0,179270.27745925862,construction
2022-05-31,36133.48576388889,2.7,-5.1,1925882.0,180956.28398397125,construction
