date,manufacturing_orders,construction_spending,housing_units
2015-01-01,3187056.0,5539900.2,14712.0
2015-02-01,3131957.0,5600337.600000001,13894.0
2015-03-01,3233526.0,5682356.9,13806.0
2015-04-01,3195428.0,5845138.6,15762.0
2015-05-01,3124221.0,5947940.1,15798.0
2015-06-01,3226569.0,6066484.3,16440.0
2015-07-01,3200297.0,6031310.7,15715.0
2015-08-01,3138273.0,6091174.3,15761.0
2015-09-01,3076887.0,6070493.0,16203.0
2015-10-01,3153740.0,5996095.8,15570.0
2015-11-01,3113968.0,5963153.2,16357.0
2015-12-01,3029712.0,6017141.4,16299.0
2016-01-01,3130151.0,6038145.3,16084.0
2016-02-01,3015871.0,6097094.5,16661.0
2016-03-01,3035666.0,6178624.3,15955.0
2016-04-01,3152454.0,6163809.8,16120.0
2016-05-01,3101576.0,6191318.5,16404.0
2016-06-01,2966945.0,6341712.8,16954.0
2016-07-01,3041744.0,6318398.3,16918.0
2016-08-01,3053544.0,6349743.7,16662.0
2016-09-01,3056867.0,6413845.3,16651.0
2016-10-01,3202692.0,6437136.6,17523.0
2016-11-01,3041889.0,6564349.4,17407.0
2016-12-01,3119395.0,6581954.7,17420.0
2017-01-01,3125412.0,6496832.3,17373.0
2017-02-01,3146641.0,6584588.399999999,17631.0
2017-03-01,3153081.0,6575219.3,17572.0
2017-04-01,3159963.0,6527500.7,17098.0
2017-05-01,3140051.0,6604604.9,17371.0
2017-06-01,3269832.0,6576756.5,18367.0
2017-07-01,3103443.0,6556009.8,17752.0
2017-08-01,3143647.0,6545688.0,17600.0
2017-09-01,3231862.0,6575988.5,17596.0
2017-10-01,3237440.0,6610867.7,18433.0
2017-11-01,3283076.0,6716099.5,18344.0
2017-12-01,3381492.0,6738472.2,18087.0
2018-01-01,3273409.0,6870501.2,18566.0
2018-02-01,3353659.0,6959038.5,18810.0
2018-03-01,3417090.0,6915168.4,18790.0
2018-04-01,3411312.0,6960255.3,18794.0
2018-05-01,3425176.0,6995148.7,19223.0
2018-06-01,3430859.0,6900930.3,18486.0
2018-07-01,3374183.0,6876659.7,18341.0
2018-08-01,3455953.0,6920814.1,18823.0
2018-09-01,3463767.0,6822430.3,18518.0
2018-10-01,3407634.0,6798739.2,18086.0
