date,category_code,indicator,indicator_name,value_millions,seasonally_adjusted,is_advance_release,source,extraction_timestamp
2015-04-01,31S,MPCUO,MPCUO,-0.8,True,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-05-01,31S,MPCUO,MPCUO,-0.4,True,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-06-01,31S,MPCUO,MPCUO,0.2,True,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-07-01,31S,MPCUO,MPCUO,-2.6,True,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-08-01,31S,MPCUO,MPCUO,-1.2,True,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-09-01,31S,MPCUO,MPCUO,-1.1,True,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-10-01,31S,MPCUO,MPCUO,-0.9,True,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-11-01,31S,MPCUO,MPCUO,0.0,True,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-12-01,31S,MPCUO,MPCUO,0.4,True,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-01-01,31S,MPCVS,MPCVS,2.2,False,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-02-01,31S,MPCVS,MPCVS,-4.5,False,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-03-01,31S,MPCVS,MPCVS,8.5,False,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-04-01,31S,MPCVS,MPCVS,-4.8,False,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-05-01,31S,MPCVS,MPCVS,-3.3,False,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-06-01,31S,MPCVS,MPCVS,2.9,False,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-07-01,31S,MPCVS,MPCVS,-7.8,False,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-08-01,31S,MPCVS,MPCVS,2.4,False,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-09-01,31S,MPCVS,MPCVS,-1.6,False,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-10-01,31S,MPCVS,MPCVS,-2.0,False,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-11-01,31S,MPCVS,MPCVS,-11.4,False,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-12-01,31S,MPCVS,MPCVS,-3.3,False,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-01-01,31S,MPCVS,MPCVS,-3.7,True,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-02-01,31S,MPCVS,MPCVS,-2.6,True,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-03-01,31S,MPCVS,MPCVS,-1.2,True,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-04-01,31S,MPCVS,MPCVS,-3.6,True,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-05-01,31S,MPCVS,MPCVS,-1.1,True,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-06-01,31S,MPCVS,MPCVS,-1.2,True,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-07-01,31S,MPCVS,MPCVS,-1.7,True,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-08-01,31S,MPCVS,MPCVS,-0.6,True,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-09-01,31S,MPCVS,MPCVS,-1.5,True,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-10-01,31S,MPCVS,MPCVS,-1.3,True,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-11-01,31S,MPCVS,MPCVS,-2.9,True,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-12-01,31S,MPCVS,MPCVS,-3.0,True,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-01-01,31S,NO,New Orders,20767.0,False,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-02-01,31S,NO,New Orders,19890.0,False,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-03-01,31S,NO,New Orders,20157.0,False,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-04-01,31S,NO,New Orders,19921.0,False,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-05-01,31S,NO,New Orders,19086.0,False,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-06-01,31S,NO,New Orders,20030.0,False,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-07-01,31S,NO,New Orders,17671.0,False,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-08-01,31S,NO,New Orders,18104.0,False,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-09-01,31S,NO,New Orders,17923.0,False,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-10-01,31S,NO,New Orders,18296.0,False,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-11-01,31S,NO,New Orders,16796.0,False,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-12-01,31S,NO,New Orders,16106.0,False,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-01-01,31S,NO,New Orders,20619.0,True,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-02-01,31S,NO,New Orders,20263.0,True,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-03-01,31S,NO,New Orders,18927.0,True,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-04-01,31S,NO,New Orders,19323.0,True,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-05-01,31S,NO,New Orders,19223.0,True,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-06-01,31S,NO,New Orders,19160.0,True,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-07-01,31S,NO,New Orders,18006.0,True,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-08-01,31S,NO,New Orders,18310.0,True,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-09-01,31S,NO,New Orders,18075.0,True,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-10-01,31S,NO,New Orders,17905.0,True,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-11-01,31S,NO,New Orders,17624.0,True,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-12-01,31S,NO,New Orders,17212.0,True,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-01-01,31S,TI,TI,39088.0,False,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-02-01,31S,TI,TI,38501.0,False,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-03-01,31S,TI,TI,36959.0,False,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-04-01,31S,TI,TI,36285.0,False,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-05-01,31S,TI,TI,35899.0,False,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-06-01,31S,TI,TI,35248.0,False,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-07-01,31S,TI,TI,35045.0,False,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-08-01,31S,TI,TI,34481.0,False,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-09-01,31S,TI,TI,33715.0,False,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-10-01,31S,TI,TI,32992.0,False,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-11-01,31S,TI,TI,32460.0,False,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-12-01,31S,TI,TI,31986.0,False,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-01-01,31S,TI,TI,38651.0,True,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-02-01,31S,TI,TI,38089.0,True,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-03-01,31S,TI,TI,37076.0,True,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-04-01,31S,TI,TI,36461.0,True,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-05-01,31S,TI,TI,36044.0,True,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-06-01,31S,TI,TI,35531.0,True,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-07-01,31S,TI,TI,34890.0,True,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-08-01,31S,TI,TI,34196.0,True,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-09-01,31S,TI,TI,33664.0,True,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-10-01,31S,TI,TI,33167.0,True,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-11-01,31S,TI,TI,32626.0,True,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-12-01,31S,TI,TI,32183.0,True,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-01-01,31S,UO,Unfilled Orders,32485.0,False,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-03-01,31S,UO,Unfilled Orders,31523.0,False,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-04-01,31S,UO,Unfilled Orders,31131.0,False,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-05-01,31S,UO,Unfilled Orders,30577.0,False,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-06-01,31S,UO,Unfilled Orders,30391.0,False,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-08-01,31S,UO,Unfilled Orders,28442.0,False,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-09-01,31S,UO,Unfilled Orders,27594.0,False,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-10-01,31S,UO,Unfilled Orders,27491.0,False,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-11-01,31S,UO,Unfilled Orders,27984.0,False,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-12-01,31S,UO,Unfilled Orders,28323.0,False,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-02-01,31S,UO,Unfilled Orders,31831.0,True,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-03-01,31S,UO,Unfilled Orders,30474.0,True,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-04-01,31S,UO,Unfilled Orders,30245.0,True,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-05-01,31S,UO,Unfilled Orders,30127.0,True,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-07-01,31S,UO,Unfilled Orders,29392.0,True,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-08-01,31S,UO,Unfilled Orders,29031.0,True,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-09-01,31S,UO,Unfilled Orders,28722.0,True,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-10-01,31S,UO,Unfilled Orders,28473.0,True,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-11-01,31S,UO,Unfilled Orders,28467.0,True,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-01-01,31S,VS,VS,20588.0,False,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-02-01,31S,VS,VS,19669.0,False,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-03-01,31S,VS,VS,21340.0,False,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-04-01,31S,VS,VS,20313.0,False,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-05-01,31S,VS,VS,19640.0,False,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-07-01,31S,VS,VS,18639.0,False,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-08-01,31S,VS,VS,19085.0,False,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-09-01,31S,VS,VS,18771.0,False,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-10-01,31S,VS,VS,18399.0,False,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-12-01,31S,VS,VS,15767.0,False,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-01-01,31S,VS,VS,21088.0,True,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-02-01,31S,VS,VS,20530.0,True,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-03-01,31S,VS,VS,20284.0,True,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-04-01,31S,VS,VS,19552.0,True,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-06-01,31S,VS,VS,19112.0,True,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-07-01,31S,VS,VS,18789.0,True,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-08-01,31S,VS,VS,18671.0,True,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-05-01,36S,MPCTI,MPCTI,0.4,False,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
2015-06-01,36S,MPCTI,MPCTI,0.2,False,True,CENSUS_ADVM3,2025-10-25 23:04:17.307563
