date,naics_code,indicator,indicator_name,value_millions,seasonally_adjusted,source,extraction_timestamp
2015-10-01,32S,MPCUO,MPCUO,-2.4,False,CENSUS_M3,2025-10-25 23:04:00.431690
2015-11-01,32S,MPCUO,MPCUO,-2.1,False,CENSUS_M3,2025-10-25 23:04:00.431690
2015-12-01,32S,MPCUO,MPCUO,-1.1,False,CENSUS_M3,2025-10-25 23:04:00.431690
2015-01-01,32S,MPCUO,MPCUO,-2.5,True,CENSUS_M3,2025-10-25 23:04:00.431690
2015-02-01,32S,MPCUO,MPCUO,-1.6,True,CENSUS_M3,2025-10-25 23:04:00.431690
2015-03-01,32S,MPCUO,MPCUO,-1.9,True,CENSUS_M3,2025-10-25 23:04:00.431690
2015-04-01,32S,MPCUO,MPCUO,-1.9,True,CENSUS_M3,2025-10-25 23:04:00.431690
2015-05-01,32S,MPCUO,MPCUO,-1.6,True,CENSUS_M3,2025-10-25 23:04:00.431690
2015-06-01,32S,MPCUO,MPCUO,-0.9,True,CENSUS_M3,2025-10-25 23:04:00.431690
2015-07-01,32S,MPCUO,MPCUO,-0.9,True,CENSUS_M3,2025-10-25 23:04:00.431690
2015-08-01,32S,MPCUO,MPCUO,-1.5,True,CENSUS_M3,2025-10-25 23:04:00.431690
2015-09-01,32S,MPCUO,MPCUO,-0.7,True,CENSUS_M3,2025-10-25 23:04:00.431690
2015-10-01,32S,MPCUO,MPCUO,-1.6,True,CENSUS_M3,2025-10-25 23:04:00.431690
2015-11-01,32S,MPCUO,MPCUO,-1.1,True,CENSUS_M3,2025-10-25 23:04:00.431690
2015-12-01,32S,MPCUO,MPCUO,0.0,True,CENSUS_M3,2025-10-25 23:04:00.431690
2015-01-01,32S,MPCVS,MPCVS,-2.7,False,CENSUS_M3,2025-10-25 23:04:00.431690
2015-02-01,32S,MPCVS,MPCVS,-1.5,False,CENSUS_M3,2025-10-25 23:04:00.431690
2015-03-01,32S,MPCVS,MPCVS,11.6,False,CENSUS_M3,2025-10-25 23:04:00.431690
2015-04-01,32S,MPCVS,MPCVS,-2.0,False,CENSUS_M3,2025-10-25 23:04:00.431690
2015-05-01,32S,MPCVS,MPCVS,-1.3,False,CENSUS_M3,2025-10-25 23:04:00.431690
2015-06-01,32S,MPCVS,MPCVS,5.9,False,CENSUS_M3,2025-10-25 23:04:00.431690
2015-07-01,32S,MPCVS,MPCVS,-7.1,False,CENSUS_M3,2025-10-25 23:04:00.431690
2015-08-01,32S,MPCVS,MPCVS,3.7,False,CENSUS_M3,2025-10-25 23:04:00.431690
2015-09-01,32S,MPCVS,MPCVS,0.1,False,CENSUS_M3,2025-10-25 23:04:00.431690
2015-10-01,32S,MPCVS,MPCVS,-1.6,False,CENSUS_M3,2025-10-25 23:04:00.431690
2015-11-01,32S,MPCVS,MPCVS,-9.2,False,CENSUS_M3,2025-10-25 23:04:00.431690
2015-12-01,32S,MPCVS,MPCVS,-2.5,False,CENSUS_M3,2025-10-25 23:04:00.431690
2015-01-01,32S,MPCVS,MPCVS,-1.3,True,CENSUS_M3,2025-10-25 23:04:00.431690
2015-02-01,32S,MPCVS,MPCVS,-1.9,True,CENSUS_M3,2025-10-25 23:04:00.431690
2015-03-01,32S,MPCVS,MPCVS,0.3,True,CENSUS_M3,2025-10-25 23:04:00.431690
2015-04-01,32S,MPCVS,MPCVS,-0.4,True,CENSUS_M3,2025-10-25 23:04:00.431690
2015-05-01,32S,MPCVS,MPCVS,-1.2,True,CENSUS_M3,2025-10-25 23:04:00.431690
2015-06-01,32S,MPCVS,MPCVS,0.4,True,CENSUS_M3,2025-10-25 23:04:00.431690
2015-07-01,32S,MPCVS,MPCVS,-0.3,True,CENSUS_M3,2025-10-25 23:04:00.431690
2015-08-01,32S,MPCVS,MPCVS,-1.4,True,CENSUS_M3,2025-10-25 23:04:00.431690
2015-09-01,32S,MPCVS,MPCVS,0.4,True,CENSUS_M3,2025-10-25 23:04:00.431690
2015-10-01,32S,MPCVS,MPCVS,-0.7,True,CENSUS_M3,2025-10-25 23:04:00.431690
2015-11-01,32S,MPCVS,MPCVS,-0.7,True,CENSUS_M3,2025-10-25 23:04:00.431690
2015-12-01,32S,MPCVS,MPCVS,-1.2,True,CENSUS_M3,2025-10-25 23:04:00.431690
2015-01-01,32S,MPCWI,MPCWI,0.9,False,CENSUS_M3,2025-10-25 23:04:00.431690
2015-02-01,32S,MPCWI,MPCWI,-0.5,False,CENSUS_M3,2025-10-25 23:04:00.431690
2015-03-01,32S,MPCWI,MPCWI,-0.1,False,CENSUS_M3,2025-10-25 23:04:00.431690
2015-04-01,32S,MPCWI,MPCWI,-0.7,False,CENSUS_M3,2025-10-25 23:04:00.431690
2015-05-01,32S,MPCWI,MPCWI,-1.0,False,CENSUS_M3,2025-10-25 23:04:00.431690
2015-06-01,32S,MPCWI,MPCWI,-0.6,False,CENSUS_M3,2025-10-25 23:04:00.431690
2015-07-01,32S,MPCWI,MPCWI,0.4,False,CENSUS_M3,2025-10-25 23:04:00.431690
2015-08-01,32S,MPCWI,MPCWI,-0.4,False,CENSUS_M3,2025-10-25 23:04:00.431690
2015-09-01,32S,MPCWI,MPCWI,-0.7,False,CENSUS_M3,2025-10-25 23:04:00.431690
2015-10-01,32S,MPCWI,MPCWI,0.5,False,CENSUS_M3,2025-10-25 23:04:00.431690
2015-11-01,32S,MPCWI,MPCWI,-1.2,False,CENSUS_M3,2025-10-25 23:04:00.431690
2015-12-01,32S,MPCWI,MPCWI,-2.6,False,CENSUS_M3,2025-10-25 23:04:00.431690
2015-01-01,32S,MPCWI,MPCWI,-0.5,True,CENSUS_M3,2025-10-25 23:04:00.431690
2015-02-01,32S,MPCWI,MPCWI,-1.3,True,CENSUS_M3,2025-10-25 23:04:00.431690
2015-03-01,32S,MPCWI,MPCWI,-0.3,True,CENSUS_M3,2025-10-25 23:04:00.431690
2015-04-01,32S,MPCWI,MPCWI,-0.8,True,CENSUS_M3,2025-10-25 23:04:00.431690
2015-05-01,32S,MPCWI,MPCWI,-1.5,True,CENSUS_M3,2025-10-25 23:04:00.431690
2017-05-01,36A,MPCVS,MPCVS,3.5,True,CENSUS_M3,2025-10-25 23:04:00.431690
2018-06-01,33H,NO,New Orders,3727.0,True,CENSUS_M3,2025-10-25 23:04:00.431690
2018-11-01,33H,NO,New Orders,3735.0,True,CENSUS_M3,2025-10-25 23:04:00.431690
2018-04-01,33H,TI,Total Inventories,5534.0,False,CENSUS_M3,2025-10-25 23:04:00.431690
2018-10-01,31S,FI,FI,11690.0,False,CENSUS_M3,2025-10-25 23:04:00.431690
2018-03-01,31S,FI,FI,11540.0,True,CENSUS_M3,2025-10-25 23:04:00.431690
2018-08-01,31S,FI,FI,12304.0,True,CENSUS_M3,2025-10-25 23:04:00.431690
2018-07-01,32S,US,US,2.54,True,CENSUS_M3,2025-10-25 23:04:00.431690
2018-12-01,32S,US,US,2.65,True,CENSUS_M3,2025-10-25 23:04:00.431690
2018-06-01,32S,VS,VS,33214.0,False,CENSUS_M3,2025-10-25 23:04:00.431690
2018-08-01,33A,TI,Total Inventories,3789.0,True,CENSUS_M3,2025-10-25 23:04:00.431690
2018-02-01,33A,VS,VS,2560.0,False,CENSUS_M3,2025-10-25 23:04:00.431690
2018-07-01,33A,VS,VS,2364.0,False,CENSUS_M3,2025-10-25 23:04:00.431690
2018-08-01,33I,MPCTI,MPCTI,0.5,True,CENSUS_M3,2025-10-25 23:04:00.431690
