date,category_code,category_name,value_millions,seasonally_adjusted,source,extraction_timestamp
2015-01-01,441,Motor Vehicle and Parts Dealers,184450.0,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-02-01,441,Motor Vehicle and Parts Dealers,184703.0,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-03-01,441,Motor Vehicle and Parts Dealers,185852.0,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-04-01,441,Motor Vehicle and Parts Dealers,189721.0,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-05-01,441,Motor Vehicle and Parts Dealers,185115.0,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-06-01,441,Motor Vehicle and Parts Dealers,186814.0,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-07-01,441,Motor Vehicle and Parts Dealers,183845.0,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-08-01,441,Motor Vehicle and Parts Dealers,181413.0,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-09-01,441,Motor Vehicle and Parts Dealers,187062.0,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-10-01,441,Motor Vehicle and Parts Dealers,193952.0,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-11-01,441,Motor Vehicle and Parts Dealers,196607.0,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-12-01,441,Motor Vehicle and Parts Dealers,198134.0,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-01-01,441,Motor Vehicle and Parts Dealers,1.8,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-02-01,441,Motor Vehicle and Parts Dealers,1.4,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-03-01,441,Motor Vehicle and Parts Dealers,1.5,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-04-01,441,Motor Vehicle and Parts Dealers,1.5,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-05-01,441,Motor Vehicle and Parts Dealers,1.5,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-06-01,441,Motor Vehicle and Parts Dealers,1.4,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-07-01,441,Motor Vehicle and Parts Dealers,1.3,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-08-01,441,Motor Vehicle and Parts Dealers,1.3,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-09-01,441,Motor Vehicle and Parts Dealers,1.4,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-10-01,441,Motor Vehicle and Parts Dealers,1.5,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-11-01,441,Motor Vehicle and Parts Dealers,1.5,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-12-01,441,Motor Vehicle and Parts Dealers,1.5,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-01-01,441,Motor Vehicle and Parts Dealers,182005.0,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-02-01,441,Motor Vehicle and Parts Dealers,182381.0,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-03-01,441,Motor Vehicle and Parts Dealers,182864.0,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-04-01,441,Motor Vehicle and Parts Dealers,184687.0,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-05-01,441,Motor Vehicle and Parts Dealers,185582.0,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-06-01,441,Motor Vehicle and Parts Dealers,186627.0,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-07-01,441,Motor Vehicle and Parts Dealers,188187.0,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-08-01,441,Motor Vehicle and Parts Dealers,189682.0,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-09-01,441,Motor Vehicle and Parts Dealers,192607.0,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-10-01,441,Motor Vehicle and Parts Dealers,194037.0,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-11-01,441,Motor Vehicle and Parts Dealers,194527.0,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-12-01,441,Motor Vehicle and Parts Dealers,195547.0,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-01-01,441,Motor Vehicle and Parts Dealers,1.8,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-02-01,441,Motor Vehicle and Parts Dealers,1.4,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-03-01,441,Motor Vehicle and Parts Dealers,1.5,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-04-01,441,Motor Vehicle and Parts Dealers,1.5,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-05-01,441,Motor Vehicle and Parts Dealers,1.5,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-06-01,441,Motor Vehicle and Parts Dealers,1.4,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
