graduate_id,graduation_year,age_at_graduation,gender,ethnicity,university_tier,major,gpa,internship_count,study_abroad,leadership_roles,industry,job_location,company_size,graduate_degree,technical_skills,remote_work_percent,years_experience,salary_starting,salary_current,job_satisfaction
GRAD_000001,2016,25,Male,Other,Regional,Engineering,3.12,0,Yes,1,Consulting,Dallas,Large,None,5.0,20.0,8,85383,136643,8.2
GRAD_000002,2018,22,Male,White,Top 10,Liberal Arts,2.81,0,No,0,Healthcare,Seattle,Startup,None,2.0,20.0,6,98257,132542,4.6
GRAD_000003,2022,21,Female,White,Top 100,Finance,2.95,0,No,1,Education,Los Angeles,Large,None,3.0,0.0,2,87227,99439,5.5
GRAD_000004,2015,20,Male,Asian,Top 100,Marketing,3.41,4,No,2,Transportation,Miami,Large,MBA,2.0,40.0,9,81351,185631,5.9
GRAD_000005,2018,21,Male,Hispanic,Regional,Data Science,3.69,1,No,1,Healthcare,Philadelphia,Medium,None,2.0,0.0,6,106188,160806,7.4
GRAD_000006,2021,23,Male,Other,Top 100,Political Science,3.31,1,Yes,1,Healthcare,New York,Small,None,0.0,20.0,3,92454,107469,7.8
GRAD_000007,2023,26,Female,White,Regional,Mathematics,3.65,2,No,1,Finance,Boston,Large,None,1.0,0.0,1,104322,106373,3.7
GRAD_000008,2017,24,Male,White,Top 100,Communications,3.3,1,No,1,Government,Atlanta,Fortune 500,None,3.0,20.0,7,49573,80628,7.1
GRAD_000009,2017,22,Male,Hispanic,Top 100,Engineering,3.52,1,No,2,Media,Chicago,Medium,None,1.0,80.0,7,97317,140368,5.4
GRAD_000010,2017,23,Female,White,Top 10,Economics,3.9,2,No,0,Healthcare,Dallas,Fortune 500,None,1.0,0.0,7,115355,150620,6.8
GRAD_000011,2017,21,Female,White,Regional,Computer Science,3.49,1,No,1,Manufacturing,Chicago,Medium,None,1.0,0.0,7,103826,141918,5.9
GRAD_000012,2021,21,Male,White,Top 50,Business,3.04,0,Yes,0,Non-profit,Portland,Medium,MBA,5.0,60.0,3,72506,116754,8.8
GRAD_000013,2023,20,Female,White,Regional,Engineering,3.39,1,No,1,Non-profit,Atlanta,Startup,Masters,4.0,100.0,1,53649,74656,7.9
GRAD_000014,2020,21,Female,White,Top 100,Engineering,3.34,3,No,1,Finance,Chicago,Large,None,2.0,40.0,4,109712,135721,6.4
