campaign_id,campaign_date,platform,ad_type,target_audience,industry_vertical,campaign_duration_days,device_type,geographic_region,seasonality,creative_score,ad_spend,impressions,clicks,conversions,revenue_generated
CAMP_00001,2022-01-01 00:00:00.000000000,Facebook,Display,25-34,Finance,30,Mobile,Europe,Q1,50.9876170042702,5773.56,547758,12134,708,55668.21
CAMP_00002,2022-01-01 04:57:51.094218843,TikTok,Search,25-34,Entertainment,7,Mobile,Europe,Q1,62.1381385858251,2847.36,267056,7848,348,6681.57
CAMP_00003,2022-01-01 09:55:42.188437687,LinkedIn,Social,25-34,Healthcare,14,Desktop,Other,Q1,44.49241991726891,17959.59,1588181,35877,1770,47242.56
CAMP_00004,2022-01-01 14:53:33.282656531,Instagram,Display,35-44,Retail,30,Tablet,North America,Q1,64.2426347458623,885.0,95029,2198,64,3418.01
CAMP_00005,2022-01-01 19:51:24.376875375,Google,Social,35-44,Retail,14,Mobile,Europe,Q1,44.007968501076775,10194.7,1234179,21003,1254,111969.63
CAMP_00006,2022-01-02 00:49:15.471094218,Google,Video,45-54,Technology,30,Mobile,Asia,Q1,90.60188927346297,5481.18,721448,19663,1025,85146.43
CAMP_00007,2022-01-02 05:47:06.565313062,Google,Social,18-24,Technology,90,Mobile,Asia,Q1,37.62245971780446,36905.83,3856766,66968,2742,107649.57
CAMP_00008,2022-01-02 10:44:57.659531906,Twitter,Social,35-44,Healthcare,7,Mobile,Europe,Q1,12.975521173033613,34307.68,2767006,45338,1140,65552.92
CAMP_00009,2022-01-02 15:42:48.753750750,Instagram,Display,45-54,Finance,30,Mobile,Asia,Q1,34.03000299093357,2843.01,249990,4631,206,37826.72
CAMP_00010,2022-01-02 20:40:39.847969593,LinkedIn,Search,45-54,Technology,14,Mobile,North America,Q1,67.72989549627425,27134.82,2294634,63586,3851,120378.08
CAMP_00011,2022-01-03 01:38:30.942188437,Google,Display,45-54,Retail,14,Tablet,Europe,Q1,57.64151240902271,10391.34,1309398,30853,1961,32494.44
CAMP_00012,2022-01-03 06:36:22.036407281,TikTok,Social,45-54,Retail,7,Mobile,Latin America,Q1,75.04265815964233,1484.04,163232,3658,245,15532.99
CAMP_00013,2022-01-03 11:34:13.130626125,Twitter,Search,55+,Travel,7,Desktop,Latin America,Q1,70.03489233421934,65778.04,6148205,182248,9711,157774.93
CAMP_00014,2022-01-03 16:32:04.224844969,Google,Search,25-34,Finance,14,Mobile,Asia,Q1,47.274393005495924,33397.63,3959891,105831,5756,141187.15
CAMP_00015,2022-01-03 21:29:55.319063812,Google,Display,35-44,Education,14,Mobile,North America,Q1,50.218330124089064,7542.97,840775,15887,1367,54005.44
CAMP_00016,2022-01-04 02:27:46.413282656,Google,Display,18-24,Education,60,Desktop,Asia,Q1,52.29342448693548,5794.21,606105,10758,764,22822.14
CAMP_00017,2022-01-04 07:25:37.507501500,Facebook,Video,18-24,Finance,30,Desktop,North America,Q1,97.68692166993306,71857.02,9022738,250060,26326,1742228.32
CAMP_00018,2022-01-04 12:23:28.601720344,Instagram,Display,25-34,Entertainment,90,Mobile,North America,Q1,73.81644629374739,5856.86,639240,21296,1105,218841.48
CAMP_00019,2022-01-04 17:21:19.695939187,Facebook,Search,18-24,Retail,30,Desktop,Asia,Q1,97.8337379835701,76276.35,9439169,306451,25945,725334.84
CAMP_00020,2022-01-04 22:19:10.790158031,Facebook,Social,25-34,Entertainment,14,Desktop,North America,Q1,76.81558744683628,7519.01,700591,21880,946,23960.68
CAMP_00021,2022-01-05 03:17:01.884376875,Instagram,Search,25-34,Technology,14,Mobile,Other,Q1,58.728332101568974,23195.06,2391795,76763,6245,597341.51
CAMP_00022,2022-01-05 08:14:52.978595719,Google,Search,18-24,Education,14,Mobile,Europe,Q1,39.6127702602867,14544.47,1590820,30480,1197,40272.92
CAMP_00023,2022-01-05 13:12:44.072814562,Facebook,Native,55+,Retail,14,Desktop,Europe,Q1,64.03039342297488,201.06,23348,408,17,805.1
CAMP_00024,2022-01-05 18:10:35.167033406,Facebook,Social,18-24,Entertainment,30,Mobile,Asia,Q1,58.78261655567539,9846.69,932897,14615,1134,56703.01
CAMP_00025,2022-01-05 23:08:26.261252250,Facebook,Native,45-54,Retail,30,Mobile,Asia,Q1,58.12705429323572,4554.34,528326,13324,836,11947.25
CAMP_00026,2022-01-06 04:06:17.355471094,Twitter,Search,25-34,Education,14,Mobile,Europe,Q1,55.818018462015004,478.11,33283,1197,33,1555.67
CAMP_00027,2022-01-06 09:04:08.449689938,Google,Display,55+,Technology,7,Mobile,North America,Q1,18.950745848475556,41147.02,5097764,48760,2818,119173.64
CAMP_00028,2022-01-06 14:01:59.543908781,Instagram,Video,45-54,Entertainment,7,Tablet,Asia,Q1,85.21679633069311,1283.4,143959,4894,427,15609.39
CAMP_00029,2022-01-06 18:59:50.638127625,Instagram,Social,35-44,Finance,14,Mobile,North America,Q1,58.990930215653655,57543.17,4904749,140180,6648,298724.38
CAMP_00030,2022-01-06 23:57:41.732346469,Google,Video,35-44,Technology,7,Mobile,North America,Q1,31.714937679427166,1181.36,142859,3228,178,3245.83
CAMP_00031,2022-01-07 04:55:32.826565313,Instagram,Display,18-24,Healthcare,30,Mobile,Europe,Q1,69.6352541814729,3811.41,347957,8513,358,8136.87
CAMP_00032,2022-01-07 09:53:23.920784156,Google,Search,55+,Travel,7,Desktop,North America,Q1,42.883276627869435,2146.95,281322,6700,333,20379.82
CAMP_00033,2022-01-07 14:51:15.015003000,Google,Search,45-54,Retail,30,Desktop,Other,Q1,71.24281245941566,7818.07,860864,31529,1560,52224.65
CAMP_00034,2022-01-07 19:49:06.109221844,TikTok,Search,45-54,Travel,14,Tablet,Europe,Q1,77.63312921024921,15607.9,1750605,66103,2539,425539.24
CAMP_00035,2022-01-08 00:46:57.203440688,TikTok,Display,35-44,Healthcare,7,Desktop,Other,Q1,80.39272981338635,19766.3,1649533,42083,2874,59683.43
CAMP_00036,2022-01-08 05:44:48.297659531,Twitter,Display,25-34,Education,60,Desktop,North America,Q1,56.78166546690359,39196.99,3155134,57828,2331,127800.4
CAMP_00037,2022-01-08 10:42:39.391878375,Facebook,Search,45-54,Finance,30,Mobile,Other,Q1,51.724445439629655,3717.1,393799,12704,894,59066.07
CAMP_00038,2022-01-08 15:40:30.486097219,Google,Native,25-34,Finance,14,Mobile,North America,Q1,47.489232794706595,807.76,98916,2103,95,2166.51
CAMP_00039,2022-01-08 20:38:21.580316063,LinkedIn,Social,35-44,Education,60,Desktop,North America,Q1,45.548878230790066,4757.38,429730,7494,398,4548.31
CAMP_00040,2022-01-09 01:36:12.674534907,Facebook,Native,18-24,Finance,7,Desktop,North America,Q1,59.65539871578166,2758.59,349292,8293,559,11362.0
CAMP_00041,2022-01-09 06:34:03.768753750,Google,Social,55+,Healthcare,14,Tablet,Europe,Q1,55.81313875216521,2130.11,302722,5162,166,2100.07
CAMP_00042,2022-01-09 11:31:54.862972594,Instagram,Search,18-24,Retail,30,Desktop,North America,Q1,43.49392368355669,1383.92,123877,2636,101,6812.49
CAMP_00043,2022-01-09 16:29:45.957191438,Google,Display,25-34,Retail,30,Mobile,Europe,Q1,37.12430492394191,128435.63,14823829,317712,11016,908975.46
CAMP_00044,2022-01-09 21:27:37.051410282,TikTok,Search,35-44,Healthcare,14,Mobile,North America,Q1,57.82487815482835,16627.97,1478061,43727,3241,31541.71
CAMP_00045,2022-01-10 02:25:28.145629125,Facebook,Search,45-54,Entertainment,7,Mobile,North America,Q1,51.31604764112339,1219.54,132560,3590,181,14962.26
CAMP_00046,2022-01-10 07:23:19.239847969,LinkedIn,Search,35-44,Healthcare,60,Mobile,Europe,Q1,37.17266053436269,45948.57,3451235,101545,2504,435789.26
CAMP_00047,2022-01-10 12:21:10.334066813,Facebook,Search,25-34,Retail,14,Mobile,North America,Q1,76.61142026842815,1328.38,150210,5090,341,26575.42
CAMP_00048,2022-01-10 17:19:01.428285657,Instagram,Search,18-24,Finance,7,Mobile,Asia,Q1,95.44185501650497,7664.02,614066,17314,750,143899.96
CAMP_00049,2022-01-10 22:16:52.522504501,Instagram,Display,45-54,Technology,30,Mobile,Europe,Q1,79.2517642796845,35585.83,2930007,52604,2777,119567.28
CAMP_00050,2022-01-11 03:14:43.616723344,Google,Search,55+,Finance,60,Desktop,Latin America,Q1,45.596239766479115,14888.71,1789200,29797,1962,77850.58
CAMP_00051,2022-01-11 08:12:34.710942188,TikTok,Display,45-54,Education,7,Mobile,North America,Q1,58.99540630820127,809.05,85859,1659,72,1120.8
CAMP_00052,2022-01-11 13:10:25.805161032,Twitter,Social,35-44,Entertainment,30,Desktop,Other,Q1,90.80857903374921,41529.08,3808870,150419,8280,374427.79
CAMP_00053,2022-01-11 18:08:16.899379876,TikTok,Display,55+,Retail,30,Mobile,Europe,Q1,36.52600714445014,708.43,54875,843,44,1704.97
CAMP_00054,2022-01-11 23:06:07.993598719,Twitter,Video,25-34,Education,14,Mobile,Other,Q1,75.65190253370452,5072.12,446874,15546,683,43664.48
CAMP_00055,2022-01-12 04:03:59.087817563,Instagram,Search,35-44,Finance,30,Tablet,North America,Q1,31.038335837120204,10859.47,1193459,30154,1653,37557.92
CAMP_00056,2022-01-12 09:01:50.182036407,TikTok,Search,35-44,Entertainment,90,Mobile,Asia,Q1,93.68075254862657,12373.12,1301477,66942,3843,106460.94
CAMP_00057,2022-01-12 13:59:41.276255251,Google,Search,25-34,Retail,14,Tablet,Asia,Q1,51.39370950498021,10273.01,1266921,46808,3739,327888.02
CAMP_00058,2022-01-12 18:57:32.370474094,Google,Display,45-54,Entertainment,7,Mobile,North America,Q1,100.0,14363.24,1415197,29565,3528,133515.17
CAMP_00059,2022-01-12 23:55:23.464692938,Google,Search,35-44,Technology,60,Mobile,Europe,Q1,94.5612759728366,62629.05,6155437,210614,25464,1929580.51
CAMP_00060,2022-01-13 04:53:14.558911782,Facebook,Display,25-34,Finance,30,Mobile,Asia,Q1,57.87138980837224,3236.78,336294,8600,292,12762.97
CAMP_00061,2022-01-13 09:51:05.653130626,Facebook,Native,25-34,Retail,14,Mobile,Europe,Q1,45.61189253779179,10908.94,981694,25276,737,20121.75
CAMP_00062,2022-01-13 14:48:56.747349470,Facebook,Native,18-24,Retail,30,Mobile,North America,Q1,63.895509437818276,43163.56,4725060,68409,4549,193737.99
CAMP_00063,2022-01-13 19:46:47.841568313,Twitter,Search,35-44,Retail,30,Desktop,Asia,Q1,56.396820667068724,17615.36,1449943,49281,1350,32321.3
CAMP_00064,2022-01-14 00:44:38.935787157,Facebook,Display,25-34,Technology,30,Mobile,North America,Q1,51.96866072828814,47408.57,5541377,129867,8278,279673.58
CAMP_00065,2022-01-14 05:42:30.030006001,Facebook,Social,18-24,Retail,60,Desktop,Asia,Q1,26.837734908434058,19372.35,1769599,23214,1312,63152.23
CAMP_00066,2022-01-14 10:40:21.124224845,Instagram,Video,35-44,Entertainment,14,Mobile,North America,Q1,49.708928326908264,73520.55,7318643,189099,13047,591331.55
CAMP_00067,2022-01-14 15:38:12.218443688,Google,Search,35-44,Retail,14,Mobile,North America,Q1,37.790417564875206,623.39,87362,1546,50,1706.45
