movie_title,original_title,director_name,actor_1_name,actor_2_name,actor_3_name,budget,gross,title_year,release_date,duration,vote_average,vote_count,popularity,genres,country,original_language,overview,tagline,tmdb_id,imdb_id
Animale,Animale,Emma Benestan,Oulaya Amamra,Damien Rebattel,Vivien Rodriguez,3800000,71924,2024,2024-09-20,98,6.806,18,48.6594,Fantasy|Drama|Horror,Belgium|France,fr,"Camargue, France - Nejma trains hard to win the local bullfighting competition. When she is mauled after a celebration, she starts to notice disturbing changes. News of a rogue bull on the loose terrifies the community, killing young men.",,1020822,tt27503400
Deadpool & Wolverine,Deadpool & Wolverine,Shawn Levy,Ryan Reynolds,Hugh Jackman,Emma Corrin,200000000,1338073645,2024,2024-07-24,128,7.6,7669,42.3129,Action|Comedy|Science Fiction,United States of America,en,"A listless Wade Wilson toils away in civilian life with his days as the morally flexible mercenary, Deadpool, behind him. But when his homeworld faces an existential threat, Wade must reluctantly suit-up again with an even more reluctant Wolverine.",Come together.,533535,tt6263850
Sonic the Hedgehog 3,Sonic the Hedgehog 3,Jeff Fowler,Jim Carrey,Ben Schwartz,Keanu Reeves,122000000,492162604,2024,2024-12-19,110,7.666,2908,39.7,Action|Science Fiction|Comedy|Family,United States of America|Japan,en,"Sonic, Knuckles, and Tails reunite against a powerful new adversary, Shadow, a mysterious villain with powers unlike anything they have faced before. With their abilities outmatched in every way, Team Sonic must seek out an unlikely alliance in hopes of stopping Shadow and protecting the planet.",New adventure. New rival.,939243,tt18259086
The Wild Robot,The Wild Robot,Chris Sanders,Lupita Nyong'o,Pedro Pascal,Kit Connor,78000000,331982078,2024,2024-09-12,102,8.314,5315,32.9376,Animation|Science Fiction|Family,United States of America,en,"After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose.",Discover your true nature.,1184918,tt29623480
Mufasa: The Lion King,Mufasa: The Lion King,Barry Jenkins,Aaron Pierre,"Kelvin Harrison, Jr.",Tiffany Boone,200000000,722631756,2024,2024-12-18,118,7.369,2340,31.6705,Adventure|Family|Animation,United States of America,en,"Mufasa, a cub lost and alone, meets a sympathetic lion named Taka, the heir to a royal bloodline. The chance meeting sets in motion an expansive journey of a group of misfits searching for their destiny.",The story of an orphan who would be king.,762509,tt13186482
Inside Out 2,Inside Out 2,Kelsey Mann,Amy Poehler,Maya Hawke,Kensington Tallman,200000000,1698863816,2024,2024-06-11,97,7.55,6098,30.3605,Animation|Adventure|Comedy|Family,United States of America,en,"Teenager Riley's mind headquarters is undergoing a sudden demolition to make room for something entirely unexpected: new Emotions! Joy, Sadness, Anger, Fear and Disgust, who’ve long been running a successful operation by all accounts, aren’t sure how to feel when Anxiety shows up. And it looks like she’s not alone.",Make room for new emotions.,1022789,tt22022452
The Substance,The Substance,Coralie Fargeat,Demi Moore,Margaret Qualley,Dennis Quaid,17500000,76506196,2024,2024-09-07,141,7.147,5003,29.7776,Drama|Horror|Science Fiction,France|United Kingdom,en,"A fading celebrity decides to use a black market drug, a cell-replicating substance that temporarily creates a younger, better version of herself.",Have you ever dreamt of a better version of yourself?,933260,tt17526714
Anora,Anora,Sean Baker,Mikey Madison,Mark Eydelshteyn,Yura Borisov,6000000,56286295,2024,2024-10-14,139,7.0,2562,24.9427,Drama|Comedy|Romance,United States of America,en,"A young sex worker from Brooklyn gets her chance at a Cinderella story when she meets and impulsively marries the son of an oligarch. Once the news reaches Russia, her fairytale is threatened as his parents set out to get the marriage annulled.",Love is a hustle.,1064213,tt28607951
Dune: Part Two,Dune: Part Two,Denis Villeneuve,Timothée Chalamet,Zendaya,Rebecca Ferguson,190000000,714444358,2024,2024-02-27,167,8.134,6995,24.6653,Science Fiction|Adventure,United States of America,en,"Follow the mythic journey of Paul Atreides as he unites with Chani and the Fremen while on a path of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the known universe, Paul endeavors to prevent a terrible future only he can foresee.",Long live the fighters.,693134,tt15239678
Kraven the Hunter,Kraven the Hunter,J.C. Chandor,Aaron Taylor-Johnson,Ariana DeBose,Fred Hechinger,130000000,62076533,2024,2024-12-11,127,6.502,1973,24.5929,Action|Adventure|Thriller,United States of America,en,"Kraven Kravinoff's complex relationship with his ruthless gangster father, Nikolai, starts him down a path of vengeance with brutal consequences, motivating him to become not only the greatest hunter in the world, but also one of its most feared.",Villains aren't born. They're made.,539972,tt8790086
Bad Boys: Ride or Die,Bad Boys: Ride or Die,Adil El Arbi,Will Smith,Martin Lawrence,Vanessa Hudgens,100000000,404547819,2024,2024-06-05,115,7.368,3020,23.7441,Action|Comedy|Crime|Thriller|Adventure,United States of America,en,"After their late former Captain is framed, Lowrey and Burnett try to clear his name, only to end up on the run themselves.",Miami's finest are now its most wanted.,573435,tt4919268
Gladiator II,Gladiator II,Ridley Scott,Paul Mescal,Denzel Washington,Pedro Pascal,310000000,462180717,2024,2024-11-13,148,6.669,3813,23.4884,Action|Adventure|Drama,United States of America,en,"Years after witnessing the death of the revered hero Maximus at the hands of his uncle, Lucius is forced to enter the Colosseum after his home is conquered by the tyrannical Emperors who now lead Rome with an iron fist. With rage in his heart and the future of the Empire at stake, Lucius must look to his past to find strength and honor to return the glory of Rome to its people.",Prepare to be entertained.,558449,tt9218128
Flow,Straume,Gints Zilbalodis,,,,3700000,17660107,2024,2024-08-29,85,8.158,2259,22.3017,Animation|Adventure|Fantasy|Family,Latvia|Belgium,lv,"A solitary cat, displaced by a great flood, finds refuge on a boat with various species and must navigate the challenges of adapting to a transformed world together.",Surrender to the storm.,823219,tt4772188
Babygirl,Babygirl,Halina Reijn,Nicole Kidman,Harris Dickinson,Antonio Banderas,20000000,60934894,2024,2024-12-25,115,5.76,870,20.7443,Drama,United States of America|Netherlands,en,A high-powered CEO puts her career and family on the line when she begins a torrid affair with her much younger intern.,Get exactly what you want.,1097549,tt30057084
Godzilla x Kong: The New Empire,Godzilla x Kong: The New Empire,Adam Wingard,Rebecca Hall,Brian Tyree Henry,Dan Stevens,150000000,571750016,2024,2024-03-27,115,7.084,4315,20.262,Action|Adventure|Science Fiction,United States of America,en,"Following their explosive showdown, Godzilla and Kong must reunite against a colossal undiscovered threat hidden within our world, challenging their very existence – and our own.",Rise together or fall alone.,823464,tt14539740
The Beekeeper,The Beekeeper,David Ayer,Jason Statham,Emmy Raver-Lampman,Josh Hutcherson,35000000,152720535,2024,2024-01-08,106,7.291,3748,19.3439,Thriller|Action|Crime,United Kingdom|United States of America,en,One man's campaign for vengeance takes on national stakes after he is revealed to be a former operative of a powerful and clandestine organization known as Beekeepers.,Expose the corruption. Protect the hive.,866398,tt15314262
Nosferatu,Nosferatu,Robert Eggers,Lily-Rose Depp,Nicholas Hoult,Bill Skarsgård,50000000,181764515,2024,2024-12-25,133,6.71,3017,18.7513,Drama|Horror|Fantasy,United States of America,en,"A gothic tale of obsession between a haunted young woman and the terrifying vampire infatuated with her, causing untold horror in its wake.",Succumb to the darkness.,426063,tt5040012
Furiosa: A Mad Max Saga,Furiosa: A Mad Max Saga,George Miller,Anya Taylor-Joy,Chris Hemsworth,Tom Burke,168000000,174287546,2024,2024-05-22,149,7.466,4367,18.7496,Action|Science Fiction|Adventure,Australia|United States of America,en,"As the world falls, young Furiosa is snatched from the Green Place of Many Mothers into the hands of a great biker horde led by the warlord Dementus. Sweeping through the wasteland, they encounter the citadel presided over by Immortan Joe. The two tyrants wage war for dominance, and Furiosa must survive many trials as she puts together the means to find her way home.",Fury is born.,786892,tt12037194
Wicked,Wicked,Jon M. Chu,Cynthia Erivo,Ariana Grande,Michelle Yeoh,150000000,756085570,2024,2024-11-20,162,6.927,2375,18.0665,Drama|Romance|Fantasy,United States of America,en,"In the land of Oz, ostracized and misunderstood green-skinned Elphaba is forced to share a room with the popular aristocrat Glinda at Shiz University, and the two's unlikely friendship is tested as they begin to fulfill their respective destinies as Glinda the Good and the Wicked Witch of the West.",Everyone deserves the chance to fly.,402431,tt1262426
IF,IF,John Krasinski,Cailey Fleming,Ryan Reynolds,John Krasinski,110000000,190309707,2024,2024-05-08,104,7.037,1419,17.3539,Comedy|Fantasy|Family,United States of America,en,"After discovering she can see everyone's imaginary friends, a girl embarks on a magical adventure to reconnect forgotten imaginary friends with their kids.",A story you have to believe to see.,639720,tt11152168
Transformers One,Transformers One,Josh Cooley,Chris Hemsworth,Brian Tyree Henry,Scarlett Johansson,75000000,128888103,2024,2024-09-11,104,8.048,1368,16.7994,Animation|Science Fiction|Adventure|Family,United States of America,en,"The untold origin story of Optimus Prime and Megatron, better known as sworn enemies, but once were friends bonded like brothers who changed the fate of Cybertron forever.",Witness the origin.,698687,tt8864596
