date,category_code,data_type_code,value_units,seasonally_adjusted,source,extraction_timestamp
2015-01-01,ACOMPLETIONS,MULTI,289.0,True,CENSUS_RES,2025-10-25 23:14:16.075132
2015-02-01,ACOMPLETIONS,MULTI,244.0,True,CENSUS_RES,2025-10-25 23:14:16.075132
2015-03-01,ACOMPLETIONS,MULTI,193.0,True,CENSUS_RES,2025-10-25 23:14:16.075132
2015-04-01,ACOMPLETIONS,MULTI,300.0,True,CENSUS_RES,2025-10-25 23:14:16.075132
2015-05-01,ACOMPLETIONS,MULTI,364.0,True,CENSUS_RES,2025-10-25 23:14:16.075132
2015-06-01,ACOMPLETIONS,MULTI,319.0,True,CENSUS_RES,2025-10-25 23:14:16.075132
2015-07-01,ACOMPLETIONS,MULTI,340.0,True,CENSUS_RES,2025-10-25 23:14:16.075132
2015-08-01,ACOMPLETIONS,MULTI,307.0,True,CENSUS_RES,2025-10-25 23:14:16.075132
2015-09-01,ACOMPLETIONS,MULTI,369.0,True,CENSUS_RES,2025-10-25 23:14:16.075132
2015-10-01,ACOMPLETIONS,MULTI,331.0,True,CENSUS_RES,2025-10-25 23:14:16.075132
2015-11-01,ACOMPLETIONS,MULTI,336.0,True,CENSUS_RES,2025-10-25 23:14:16.075132
2015-12-01,ACOMPLETIONS,MULTI,305.0,True,CENSUS_RES,2025-10-25 23:14:16.075132
2015-01-01,ACOMPLETIONS,E_MULTI,14.0,True,CENSUS_RES,2025-10-25 23:14:16.075132
2015-03-01,ACOMPLETIONS,E_MULTI,13.0,True,CENSUS_RES,2025-10-25 23:14:16.075132
2015-04-01,ACOMPLETIONS,E_MULTI,13.0,True,CENSUS_RES,2025-10-25 23:14:16.075132
2015-05-01,ACOMPLETIONS,E_MULTI,13.0,True,CENSUS_RES,2025-10-25 23:14:16.075132
2015-06-01,ACOMPLETIONS,E_MULTI,14.0,True,CENSUS_RES,2025-10-25 23:14:16.075132
2015-07-01,ACOMPLETIONS,E_MULTI,14.0,True,CENSUS_RES,2025-10-25 23:14:16.075132
2015-08-01,ACOMPLETIONS,E_MULTI,14.0,True,CENSUS_RES,2025-10-25 23:14:16.075132
2015-10-01,ACOMPLETIONS,E_MULTI,15.0,True,CENSUS_RES,2025-10-25 23:14:16.075132
2015-11-01,ACOMPLETIONS,E_MULTI,14.0,True,CENSUS_RES,2025-10-25 23:14:16.075132
2015-12-01,ACOMPLETIONS,E_MULTI,13.0,True,CENSUS_RES,2025-10-25 23:14:16.075132
2015-01-01,ACOMPLETIONS,SINGLE,104.0,True,CENSUS_RES,2025-10-25 23:14:16.075132
2015-02-01,ACOMPLETIONS,SINGLE,96.0,True,CENSUS_RES,2025-10-25 23:14:16.075132
2015-03-01,ACOMPLETIONS,SINGLE,82.0,True,CENSUS_RES,2025-10-25 23:14:16.075132
2015-05-01,ACOMPLETIONS,SINGLE,101.0,True,CENSUS_RES,2025-10-25 23:14:16.075132
2015-06-01,ACOMPLETIONS,SINGLE,95.0,True,CENSUS_RES,2025-10-25 23:14:16.075132
2015-07-01,ACOMPLETIONS,SINGLE,100.0,True,CENSUS_RES,2025-10-25 23:14:16.075132
